Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Median,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,2.946 ns,0.0341 ns,0.0319 ns,2.927 ns,0.88,0.04
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,2.857 ns,0.0184 ns,0.0154 ns,2.857 ns,0.84,0.03
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,3.124 ns,0.0164 ns,0.0137 ns,3.119 ns,0.92,0.04
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,33,AsciiOnly,2.937 ns,0.0214 ns,0.0200 ns,2.937 ns,0.87,0.04
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,3.542 ns,0.0177 ns,0.0166 ns,3.536 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,3.528 ns,0.0201 ns,0.0178 ns,3.521 ns,1.00,0.01
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,2.787 ns,0.0333 ns,0.0370 ns,2.773 ns,0.79,0.01
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,2.686 ns,0.0178 ns,0.0167 ns,2.682 ns,0.76,0.01
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,36,AsciiOnly,2.348 ns,0.0345 ns,0.0323 ns,2.349 ns,0.66,0.01
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,39,AsciiOnly,4.035 ns,0.0221 ns,0.0207 ns,4.034 ns,1.00,0.00
