Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,63,AsciiOnly,10.332 ns,0.0052 ns,0.0049 ns,0.95,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,63,AsciiOnly,9.441 ns,0.0052 ns,0.0043 ns,0.87,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,63,AsciiOnly,8.957 ns,0.0156 ns,0.0145 ns,0.82,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,64,AsciiOnly,10.200 ns,0.0072 ns,0.0064 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,64,AsciiOnly,10.064 ns,0.0021 ns,0.0018 ns,0.99,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,64,AsciiOnly,9.181 ns,0.0146 ns,0.0136 ns,0.90,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,64,AsciiOnly,8.121 ns,0.0180 ns,0.0150 ns,0.80,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,71,AsciiOnly,13.473 ns,0.0183 ns,0.0162 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,71,AsciiOnly,12.290 ns,0.0065 ns,0.0058 ns,0.91,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,71,AsciiOnly,11.254 ns,0.0098 ns,0.0087 ns,0.84,0.00
