Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Median;Ratio;RatioSD
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;41;AsciiOnly;4.645 ns;0.0134 ns;0.0126 ns;4.650 ns;0.60;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;44;AsciiOnly;7.200 ns;0.0172 ns;0.0153 ns;7.197 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;44;AsciiOnly;6.399 ns;0.0162 ns;0.0152 ns;6.397 ns;0.89;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;44;AsciiOnly;5.880 ns;0.0310 ns;0.0290 ns;5.887 ns;0.82;0.00
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;44;AsciiOnly;4.623 ns;0.0076 ns;0.0072 ns;4.623 ns;0.64;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;48;AsciiOnly;7.680 ns;0.0081 ns;0.0072 ns;7.681 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;48;AsciiOnly;6.393 ns;0.0124 ns;0.0116 ns;6.395 ns;0.83;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;48;AsciiOnly;5.840 ns;0.0079 ns;0.0074 ns;5.838 ns;0.76;0.00
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;48;AsciiOnly;4.671 ns;0.0104 ns;0.0097 ns;4.670 ns;0.61;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;53;AsciiOnly;7.925 ns;0.0187 ns;0.0175 ns;7.921 ns;1.00;0.00
